"LOCATION","STATUS","DESCRIPTION","ADDRESS1","ADDRESS2","CITY","STATE","ZIP"
"L0976","A","7101 College Blvd","7101 College Blvd","Suite 550","Overland Park","KS","66210"
"L0977","A","12572 South Creek Meadow Road","12572 South Creek Meadow Road"," ","Riverton","UT","84065"
"L0978","A","2200 E Arapahoe Rd","2200 E Arapahoe Rd"," ","Centennial","CO","80122"
"L0979","A","8203 W. Quinault Ave","8203 W. Quinault Ave","Suite 20","Kennewick","WA","99336"
"L0980","A","88 Kearny","88 Kearny Street"," ","San Francisco","CA","94108"
"L0981","A","Folsom","1000 East Bidwell Street"," ","Folsom","CA","95630"
"L0983","A","1551 Pacific Avenue","1551 Pacific Avenue"," ","Santa Cruz","CA","95060"
"L0984","A","24 West Fifth Street","24 West Fifth Street"," ","Madras","OR","97741"
"L0985","A","Monterey - Del Monte","1050 Del Monte Ctr"," ","Monterey","CA","93940-6137"
"L0986","A","500 Capitol Mall","500 Capitol Mall"," ","Sacramento","CA","95814"
"L1032","A","4400 Macarthur Blvd Suite 100","4400 Macarthur Blvd","Suite #100","Newport Beach","CA","92660"
"L1033","A","Koin Tower Suite 950","222 SW Columbia St","Suite 950","Portland","OR","97201"
"L1034","A","BR15 12677 Alcosta Blvd S400","12677 Alcosta Blvd","Suite 400","San Ramon","CA","94583"
"L1035","A","16501 Ventura Blvd","16501 Ventura Blvd","Suite #400","Encino","CA","91436"
"L1036","A","Marquette Building Suite 120","500 Marquette NW","Suite 120","Albuquerque","NM","87102"
"R0402","A","Arizona -PST"," "," "," ","AZ",""
"R0408","A","Florida-CST"," "," "," ","FL",""
"R0412","A","Idaho -PST"," "," "," ","ID",""
"R0414","A","Indiana CST"," "," "," ","IN",""
"R0415","A","Kansas-MTN"," "," "," ","KS",""
"R0416","A","Kentucky CST"," "," "," ","KY",""
"R0421","A","Michigan CST"," "," "," ","MI",""
"R0427","A","No Dakota MTN"," "," "," ","ND",""
"R0428","A","Nebraska MTN"," "," "," ","NE",""
"R0436","A","Oregon PST"," "," "," ","OR",""
"R0441","A","So Dakota MTN"," "," "," ","SD",""
"R0442","A","Tennessee CST"," "," "," ","TN",""
"R0443","A","Texas MTN"," "," "," ","TX",""
